"","mean","sd","95%_HPDL","95%_HPDU","Rhat","n.eff","median"
"mean.psi21.t[14]",0.087,0.065,0,0.215,1.01,938,0.073
"mean.psi21.t[15]",0.201,0.1,0.006,0.378,1.01,1238,0.193
"mean.psi21.t[16]",0.371,0.161,0.054,0.667,1.03,751,0.372
"mean.psi21.t[17]",0.395,0.161,0.075,0.694,1.02,678,0.402
"mean.psi21.t[18]",0.303,0.128,0.045,0.541,1.02,988,0.301
"mean.psi21.t[19]",0.119,0.068,0,0.241,1,1095,0.111
"mean.psi21.t[20]",0.103,0.095,0,0.29,1,898,0.076
"mean.psi21.t[21]",0.068,0.062,0,0.195,1.01,868,0.049
"mean.psi21.t[22]",0.102,0.093,0,0.285,1.01,1010,0.075
"mean.p[1, 1]",0.064,0.03,0.015,0.122,1,4039,0.058
"mean.p[2, 1]",0.29,0.062,0.172,0.41,1,2115,0.286
"mean.p[3, 1]",0.355,0.059,0.238,0.468,1,1475,0.353
"mean.p[4, 1]",0.063,0.016,0.035,0.094,1.01,1667,0.061
"mean.p[5, 1]",0.054,0.018,0.024,0.09,1,2457,0.052
"mean.p[6, 1]",0.255,0.047,0.165,0.344,1,1430,0.252
"mean.p[7, 1]",0.227,0.155,0.009,0.537,1,6799,0.19
"mean.p[8, 1]",0.262,0.046,0.174,0.351,1.01,1399,0.259
"mean.p[9, 1]",0.048,0.014,0.023,0.077,1.01,1705,0.046
"mean.p[10, 1]",0.051,0.018,0.021,0.086,1.01,2058,0.049
"mean.p[11, 1]",0.117,0.032,0.059,0.182,1.01,1891,0.114
"mean.p[12, 1]",0.241,0.05,0.15,0.342,1.01,1332,0.237
"mean.p[13, 1]",0.14,0.034,0.081,0.211,1.01,1030,0.136
"mean.p[14, 1]",0.056,0.016,0.028,0.087,1.01,1389,0.054
"mean.p[15, 1]",0.019,0.007,0.007,0.034,1,2586,0.018
"mean.p[16, 1]",0.009,0.006,0.001,0.02,1.01,4543,0.008
"mean.p[17, 1]",0.043,0.014,0.018,0.071,1.01,1351,0.041
"mean.p[18, 1]",0.12,0.032,0.063,0.183,1.01,1419,0.117
"mean.p[19, 1]",0.189,0.041,0.111,0.27,1.01,1544,0.185
"mean.p[20, 1]",0.273,0.169,0.02,0.61,1,7409,0.24
"mean.p[21, 1]",0.408,0.067,0.273,0.536,1.01,1160,0.405
"mean.p[22, 1]",0.279,0.067,0.159,0.414,1.01,1630,0.273
"mean.p[1, 2]",0.266,0.133,0.043,0.522,1.01,3365,0.244
